length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_eq,nb_underscore,nb_percent,nb_slash,nb_colon,nb_semicolumn,nb_space,nb_www,nb_com,http_in_path,https_token,ratio_digits_url,ratio_digits_host,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,nb_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,nb_extCSS,ratio_extRedirection,ratio_extErrors,login_form,external_favicon,links_in_tags,ratio_intMedia,ratio_extMedia,safe_anchor,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,label
35,11.0,0,2,0,0,0,0,0,0,0.0,4,1,0,0,1,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,4,3,3,3,5,9,3,9,5.0,3.0,7.0,0,0,0,0,97,0.969072165,0.030927835,0,0.0,0.333333333,0,0,100.0,0.0,0.0,25.0,0,1,1,0,3285.649999999987,10676.71,178542.0,0,0,5,0
22,15.0,0,2,0,0,0,0,0,0,0.0,2,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,0,0,1,0,8,8,0,8,8,0,8.0,8.0,0.0,0,0,0,0,168,0.779761905,0.220238095,3,0.378378378,0.0,0,1,90.90909091,100.0,0.0,24.32432432,0,1,1,0,0.0,-1.0,0.0,0,0,2,0
43,15.0,0,2,1,0,1,0,1,0,0.0,3,1,0,0,1,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,6,3,1,3,1,7,7,7,4.333333333,5.0,4.0,0,1,0,0,52,0.557692308,0.442307692,0,0.0,0.0,0,1,65.21739129999999,0.0,0.0,0.0,0,0,1,0,208.0,5636.0,2.0,0,0,10,0
26,18.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,1,0,0,1,0.153846154,0.222222222,0,0,0,2,0,0,0,1,2,3,3,3,0,10,10,0,6.5,6.5,0.0,0,0,0,0,39,0.58974359,0.41025641,0,0.125,0.0,1,1,55.55555556,33.33333333,66.66666667,0.0,0,1,0,0,983.0,1938.0,2636665.0,0,0,4,0
62,13.0,0,2,1,0,1,0,1,1,0.0,6,1,0,0,0,0,0,1,0.0161290319999999,0.0,0,0,0,2,1,0,0,0,8,0,2,9,2,9,9,8,5.25,9.0,4.714285714,2,0,0,0,1,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,338.0,1853.0,0.0,0,1,2,1
38,19.0,0,1,1,0,0,0,0,0,0.0,4,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1,0,0,0,3,0,3,15,3,15,15,5,7.666666667,15.0,4.0,0,0,0,0,328,0.908536585,0.091463415,0,0.5,0.2,0,1,66.66666667,100.0,0.0,91.66666667,0,1,1,0,49.0,-1.0,53863.0,0,0,5,0
126,50.0,1,4,1,0,1,2,3,2,0.0,4,1,0,0,0,1,0,1,0.150793651,0.0,0,1,0,3,1,0,0,1,13,2,2,3,2,17,13,17,7.769230769,8.4,7.375,0,0,0,0,51,1.0,0.0,0,0.0,0.0,0,0,100.0,100.0,0.0,100.0,0,1,1,0,25.0,3992.0,5697976.0,0,1,0,1
20,13.0,0,2,0,0,0,0,0,0,0.0,2,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,0,0,1,0,6,6,0,6,6,0,6.0,6.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,0,1,0.0,-1.0,9161487.0,0,0,0,0
54,13.0,1,3,0,0,0,0,0,2,0.0,4,1,0,0,1,0,0,1,0.111111111,0.0,0,0,0,3,0,0,0,1,7,3,1,3,1,13,5,13,5.285714286,4.0,5.8,0,0,0,0,340,0.988235294,0.011764706,0,0.5,0.0,0,0,94.11764706,100.0,0.0,50.0,0,0,1,0,1308.0,8554.0,9753.0,0,0,5,0
42,29.0,0,2,0,0,0,0,1,2,0.0,3,1,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,3,1,1,6,1,18,18,1,8.333333332999999,12.0,1.0,0,1,0,0,60,0.816666667,0.183333333,0,0.090909091,0.0,0,0,100.0,0.0,0.0,78.43137255,0,1,0,0,1048.0,5160.0,0.0,0,0,8,0
28,19.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,0,0,0,0,0.035714286,0.052631579,0,0,0,2,0,0,0,0,2,0,3,3,0,11,11,0,7.0,7.0,0.0,0,0,0,0,148,0.209459459,0.7905405409999999,5,0.017094017,0.0,0,1,27.27272727,20.0,80.0,25.35211268,0,0,1,0,263.0,7772.0,0.0,0,0,6,0
46,16.0,0,2,0,0,1,0,0,0,0.0,3,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,0,0,4,1,3,12,3,12,12,9,8.0,12.0,6.666666667,0,0,0,0,17,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0.0,100.0,0,1,1,0,364.0,0.0,0.0,0,1,0,1
50,17.0,0,3,0,0,0,0,0,1,0.0,4,1,0,0,1,0,0,1,0.0,0.0,0,0,0,3,0,0,0,1,6,3,3,3,3,11,9,11,5.666666667,6.0,5.5,0,0,0,0,168,0.625,0.375,0,0.158730159,0.6031746029999999,0,1,30.95238095,100.0,0.0,44.44444444,0,0,0,0,618.0,8147.0,12601.0,0,0,6,0
27,19.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,1,0,0,1,0.0,0.0,0,0,0,2,0,0,0,1,2,3,3,3,0,11,11,0,7.0,7.0,0.0,0,0,0,0,157,0.923566879,0.0764331209999999,1,0.166666667,0.0,0,1,90.0,95.83333333,4.166666667,12.5,0,1,1,0,124.0,4624.0,343636.0,0,0,4,0
56,16.0,0,2,0,0,0,0,0,3,0.0,4,1,0,0,1,1,0,1,0.0,0.0,1,0,0,2,0,0,0,1,7,4,2,3,2,8,8,7,5.571428571,5.5,5.6,0,0,0,0,55,0.854545455,0.145454545,0,0.0,0.0,0,1,81.81818182,100.0,0.0,72.22222222,0,0,1,0,168.0,2388.0,1625.0,0,1,6,0
35,19.0,0,2,0,0,0,0,0,0,0.0,4,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,0,1,4,1,3,6,3,8,8,4,5.25,7.0,3.5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,481.0,4633.0,8237707.0,0,1,0,1
33,25.0,0,2,1,0,0,0,0,0,0.0,2,1,0,0,0,0,0,0,0.03030303,0.04,0,0,0,2,0,0,1,0,3,0,5,5,0,8,8,0,6.333333333,6.333333333,0.0,0,1,0,0,14,0.071428571,0.928571429,0,0.230769231,0.0,0,1,0.0,0.0,0.0,14.28571429,0,1,0,0,372.0,7297.0,0.0,0,1,5,1
43,16.0,0,3,2,0,0,0,0,0,0.0,3,1,0,0,1,0,0,1,0.0,0.0,0,0,0,3,0,0,0,1,6,4,3,3,3,7,7,5,4.333333333,5.0,4.0,0,0,0,0,113,0.938053097,0.061946903,1,0.0,0.0,0,1,86.11111111,100.0,0.0,100.0,0,1,0,0,151.0,1675.0,70853.0,0,0,4,1
55,33.0,0,7,0,0,0,0,0,0,0.0,3,1,0,0,1,0,0,0,0.0,0.0,0,0,0,3,0,0,0,0,7,4,1,3,1,19,19,4,5.0,8.333333332999999,2.5,0,0,0,0,26,0.884615385,0.115384615,0,0.0,0.0,0,1,75.0,50.0,50.0,100.0,0,1,1,0,364.0,1.0,0.0,0,1,0,1
26,18.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,1,0,0,1,0.076923077,0.111111111,0,0,0,2,0,0,0,0,2,3,3,3,0,10,10,0,6.5,6.5,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,294.0,70.0,4299359.0,0,1,0,1
54,14.0,0,4,0,0,0,0,0,3,0.0,4,1,0,0,1,0,0,1,0.111111111,0.142857143,0,0,0,3,0,1,0,1,8,4,3,3,3,7,4,7,4.25,3.5,4.5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,1,1,0,954.0,5985.0,269852.0,0,0,4,0
35,13.0,0,2,0,0,0,0,0,0,0.0,3,1,0,0,0,0,0,1,0.0,0.0,0,0,0,2,0,0,1,1,3,2,4,9,4,9,9,9,7.333333333,9.0,6.5,0,0,0,0,76,0.960526316,0.039473684,0,0.0,0.333333333,0,0,92.59259259,100.0,0.0,92.30769231,0,0,0,0,430.0,5779.0,5832.0,0,0,5,0
60,24.0,0,2,1,0,0,0,0,0,0.0,4,1,0,0,0,0,0,1,0.166666667,0.0,0,0,0,2,0,0,0,0,5,1,3,4,3,16,16,13,9.2,10.0,8.666666667000001,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,667.0,0.0,0,1,0,1
79,26.0,0,2,1,0,0,0,0,0,0.0,8,1,0,0,1,0,0,1,0.0,0.0,0,0,0,2,1,0,0,0,8,15,2,3,2,18,18,11,7.5,10.5,6.5,2,0,0,0,15,0.133333333,0.8666666670000001,1,0.0,0.0,0,1,50.0,0.0,0.0,0.0,0,1,0,0,1358.0,2295.0,0.0,0,1,0,1
30,13.0,0,2,1,0,0,0,0,0,0.0,3,1,0,0,1,0,0,0,0.0,0.0,0,0,0,2,0,1,0,1,4,3,3,3,3,5,5,4,3.75,4.0,3.5,1,0,0,0,50,0.76,0.24,0,0.583333333,0.0,0,0,0.0,0.0,100.0,53.33333333,0,1,0,0,3162.0,3777.0,6328.0,0,0,7,0
